"","concentration","seasons","location","lake"
"110",139315.68029453,"2","headwaters","Arkabutla Lake"
"111",82413.8115013002,"2","headwaters","Arkabutla Lake"
"112",121338.885046498,"2","headwaters","Arkabutla Lake"
"113",183653.834334835,"2","headwaters","Arkabutla Lake"
"114",216770.410481969,"2","headwaters","Arkabutla Lake"
"115",376703.798983909,"2","headwaters","Arkabutla Lake"
"116",114815.362149688,"2","headwaters","Arkabutla Lake"
"117",17538.8050184176,"2","headwaters","Arkabutla Lake"
"118",169044.093164326,"2","headwaters","Arkabutla Lake"
"119",169044.093164326,"2","headwaters","Arkabutla Lake"
"120",20701.4134879104,"2","headwaters","Arkabutla Lake"
"121",143218.789927354,"2","headwaters","Arkabutla Lake"
"122",105681.750921366,"2","headwaters","Arkabutla Lake"
"123",43651.5832240166,"2","headwaters","Arkabutla Lake"
"124",80167.8063387679,"3","headwaters","Arkabutla Lake"
"125",31332.8572431559,"3","headwaters","Arkabutla Lake"
"126",20701.4134879104,"3","headwaters","Arkabutla Lake"
"127",55975.760149511,"3","headwaters","Arkabutla Lake"
"128",20701.4134879104,"3","headwaters","Arkabutla Lake"
"129",71779.4291271362,"3","headwaters","Arkabutla Lake"
"130",50118.7233627272,"3","headwaters","Arkabutla Lake"
"131",114815.362149688,"3","headwaters","Arkabutla Lake"
"132",155596.563160508,"3","headwaters","Arkabutla Lake"
"133",77983.0110523258,"3","headwaters","Arkabutla Lake"
"134",159955.802861467,"3","headwaters","Arkabutla Lake"
"135",82413.8115013002,"3","headwaters","Arkabutla Lake"
"136",73790.4230129101,"3","headwaters","Arkabutla Lake"
"137",94623.7161365793,"3","headwaters","Arkabutla Lake"
"138",16595.8690743756,"3","headwaters","Arkabutla Lake"
"139",38018.9396320561,"3","headwaters","Arkabutla Lake"
"140",26546.0556197554,"3","headwaters","Arkabutla Lake"
"141",29648.3138952434,"4","headwaters","Arkabutla Lake"
"142",62517.2692775686,"4","headwaters","Arkabutla Lake"
"143",52966.3443891658,"4","headwaters","Arkabutla Lake"
"144",188799.134909629,"4","headwaters","Arkabutla Lake"
"145",173780.082874937,"4","headwaters","Arkabutla Lake"
"146",139315.68029453,"4","headwaters","Arkabutla Lake"
"147",255858.588690565,"4","headwaters","Arkabutla Lake"
"148",169044.093164326,"4","headwaters","Arkabutla Lake"
"149",235504.928389601,"4","headwaters","Arkabutla Lake"
"150",143218.789927354,"4","headwaters","Arkabutla Lake"
"151",194088.587759278,"4","headwaters","Arkabutla Lake"
"152",263026.799189538,"4","headwaters","Arkabutla Lake"
"153",164437.172321493,"4","headwaters","Arkabutla Lake"
"154",248885.731828239,"4","headwaters","Arkabutla Lake"
"155",248885.731828239,"4","headwaters","Arkabutla Lake"
"156",310455.958812836,"4","headwaters","Arkabutla Lake"
"157",222843.51492703,"4","headwaters","Arkabutla Lake"
"158",366437.574647833,"4","headwaters","Arkabutla Lake"
"159",62517.2692775686,"4","headwaters","Arkabutla Lake"
"160",319153.785510076,"4","headwaters","Arkabutla Lake"
"161",118032.063565173,"4","headwaters","Arkabutla Lake"
"162",263026.799189538,"4","headwaters","Arkabutla Lake"
"163",159955.802861467,"4","headwaters","Arkabutla Lake"
"164",121338.885046498,"4","headwaters","Arkabutla Lake"
"165",293764.965196153,"4","headwaters","Arkabutla Lake"
"166",7870.45789695098,"4","headwaters","Arkabutla Lake"
"167",82413.8115013002,"1","headwaters","Arkabutla Lake"
"168",15275.6605823807,"1","headwaters","Arkabutla Lake"
"169",73790.4230129101,"1","headwaters","Arkabutla Lake"
"170",60813.5001278718,"1","headwaters","Arkabutla Lake"
"171",169044.093164326,"1","headwaters","Arkabutla Lake"
"172",114815.362149688,"1","headwaters","Arkabutla Lake"
"173",75857.7575029184,"1","headwaters","Arkabutla Lake"
"174",24434.3055269397,"1","headwaters","Arkabutla Lake"
"175",10964.7819614319,"1","headwaters","Arkabutla Lake"
"176",75857.7575029184,"1","headwaters","Arkabutla Lake"
"177",8550.66712884682,"2","headwaters","Arkabutla Lake"
"178",30478.9498962798,"2","headwaters","Arkabutla Lake"
"179",77983.0110523258,"2","headwaters","Arkabutla Lake"
"180",18030.1774085957,"2","headwaters","Arkabutla Lake"
"181",13304.5441797809,"2","headwaters","Arkabutla Lake"
"182",11912.4200802737,"2","headwaters","Arkabutla Lake"
"183",147231.250243272,"2","headwaters","Arkabutla Lake"
"184",62517.2692775686,"2","headwaters","Arkabutla Lake"
"185",48752.8490103386,"2","headwaters","Arkabutla Lake"
"186",14060.4752412991,"2","headwaters","Arkabutla Lake"
"187",22490.5460583578,"2","headwaters","Arkabutla Lake"
"188",8790.22516830884,"2","headwaters","Arkabutla Lake"
"189",23768.4028662488,"2","headwaters","Arkabutla Lake"
"190",52966.3443891658,"3","headwaters","Arkabutla Lake"
"191",102801.629812647,"3","headwaters","Arkabutla Lake"
"192",139315.68029453,"3","headwaters","Arkabutla Lake"
"193",277971.326775929,"3","headwaters","Arkabutla Lake"
"194",67920.3632617184,"3","headwaters","Arkabutla Lake"
"195",21281.3904598271,"3","headwaters","Arkabutla Lake"
"196",270395.836410884,"3","headwaters","Arkabutla Lake"
"197",183653.834334835,"3","headwaters","Arkabutla Lake"
"198",33113.1121482591,"3","headwaters","Arkabutla Lake"
"199",183653.834334835,"3","headwaters","Arkabutla Lake"
"200",159955.802861467,"3","headwaters","Arkabutla Lake"
"201",89536.4765549594,"3","headwaters","Arkabutla Lake"
"202",121338.885046498,"3","headwaters","Arkabutla Lake"
"203",199526.231496888,"3","headwaters","Arkabutla Lake"
